LAMMPS Description

     648  atoms
     432  bonds
     216  angles
     0  dihedrals
     0  impropers

     2  atom types
     3  bond types
     3  angle types
     5  dihedral types

  0.0 36.0 xlo xhi
  0.0 36.0 ylo yhi
  0.0 36.0 zlo zhi

Masses

    1 15.035 #C3 "N-Alkane CH3- (UA)" 6 partial charge=0.0
    2 14.027 #C2 "Alkanes -CH2- (UA)" 6 partial charge=0.0

Atoms # full

311 104 2 0.0 8.558 32.42 13.722
312 104 1 0.0 8.716 33.403999999999996 14.137
313 105 1 0.0 13.252 31.985 14.024
314 105 2 0.0 14.558 32.42 13.722
315 105 1 0.0 14.716 33.403999999999996 14.137
316 106 1 0.0 19.252 31.985 14.024
317 106 2 0.0 20.558 32.42 13.722
318 106 1 0.0 20.716 33.403999999999996 14.137
319 107 1 0.0 25.252 31.985 14.024
320 107 2 0.0 26.558 32.42 13.722
321 107 1 0.0 26.716 33.403999999999996 14.137
322 108 1 0.0 31.252 31.985 14.024
323 108 2 0.0 32.558 32.42 13.722
324 108 1 0.0 32.716 33.403999999999996 14.137
325 109 1 0.0 1.252 1.985 20.024
326 109 2 0.0 2.558 2.42 19.722
327 109 1 0.0 2.716 3.404 20.137
328 110 1 0.0 7.252 1.985 20.024
329 110 2 0.0 8.558 2.42 19.722
330 110 1 0.0 8.716 3.404 20.137
331 111 1 0.0 13.252 1.985 20.024
332 111 2 0.0 14.558 2.42 19.722
333 111 1 0.0 14.716 3.404 20.137
334 112 1 0.0 19.252 1.985 20.024
335 112 2 0.0 20.558 2.42 19.722
336 112 1 0.0 20.716 3.404 20.137
337 113 1 0.0 25.252 1.985 20.024
338 113 2 0.0 26.558 2.42 19.722
339 113 1 0.0 26.716 3.404 20.137
340 114 1 0.0 31.252 1.985 20.024
341 114 2 0.0 32.558 2.42 19.722
342 114 1 0.0 32.716 3.404 20.137
343 115 1 0.0 1.252 7.985 20.024
344 115 2 0.0 2.558 8.42 19.722
345 115 1 0.0 2.716 9.404 20.137
346 116 1 0.0 7.252 7.985 20.024
347 116 2 0.0 8.558 8.42 19.722
348 116 1 0.0 8.716 9.404 20.137
349 117 1 0.0 13.252 7.985 20.024
350 117 2 0.0 14.558 8.42 19.722
351 117 1 0.0 14.716 9.404 20.137
352 118 1 0.0 19.252 7.985 20.024
353 118 2 0.0 20.558 8.42 19.722
354 118 1 0.0 20.716 9.404 20.137
355 119 1 0.0 25.252 7.985 20.024
356 119 2 0.0 26.558 8.42 19.722
357 119 1 0.0 26.716 9.404 20.137
358 120 1 0.0 31.252 7.985 20.024
359 120 2 0.0 32.558 8.42 19.722
360 120 1 0.0 32.716 9.404 20.137
361 121 1 0.0 1.252 13.985 20.024
362 121 2 0.0 2.558 14.42 19.722
363 121 1 0.0 2.716 15.404 20.137
364 122 1 0.0 7.252 13.985 20.024
365 122 2 0.0 8.558 14.42 19.722
366 122 1 0.0 8.716 15.404 20.137
367 123 1 0.0 13.252 13.985 20.024
368 123 2 0.0 14.558 14.42 19.722
369 123 1 0.0 14.716 15.404 20.137
370 124 1 0.0 19.252 13.985 20.024
371 124 2 0.0 20.558 14.42 19.722
372 124 1 0.0 20.716 15.404 20.137
373 125 1 0.0 25.252 13.985 20.024
374 125 2 0.0 26.558 14.42 19.722
375 125 1 0.0 26.716 15.404 20.137
376 126 1 0.0 31.252 13.985 20.024
377 126 2 0.0 32.558 14.42 19.722
378 126 1 0.0 32.716 15.404 20.137
379 127 1 0.0 1.252 19.985 20.024
380 127 2 0.0 2.558 20.42 19.722
381 127 1 0.0 2.716 21.404 20.137
382 128 1 0.0 7.252 19.985 20.024
383 128 2 0.0 8.558 20.42 19.722
384 128 1 0.0 8.716 21.404 20.137
385 129 1 0.0 13.252 19.985 20.024
386 129 2 0.0 14.558 20.42 19.722
387 129 1 0.0 14.716 21.404 20.137
388 130 1 0.0 19.252 19.985 20.024
389 130 2 0.0 20.558 20.42 19.722
390 130 1 0.0 20.716 21.404 20.137
391 131 1 0.0 25.252 19.985 20.024
392 131 2 0.0 26.558 20.42 19.722
393 131 1 0.0 26.716 21.404 20.137
394 132 1 0.0 31.252 19.985 20.024
395 132 2 0.0 32.558 20.42 19.722
396 132 1 0.0 32.716 21.404 20.137
397 133 1 0.0 1.252 25.985 20.024
398 133 2 0.0 2.558 26.42 19.722
399 133 1 0.0 2.716 27.404 20.137
400 134 1 0.0 7.252 25.985 20.024
401 134 2 0.0 8.558 26.42 19.722
402 134 1 0.0 8.716 27.404 20.137
403 135 1 0.0 13.252 25.985 20.024
404 135 2 0.0 14.558 26.42 19.722
405 135 1 0.0 14.716 27.404 20.137
406 136 1 0.0 19.252 25.985 20.024
407 136 2 0.0 20.558 26.42 19.722
408 136 1 0.0 20.716 27.404 20.137
409 137 1 0.0 25.252 25.985 20.024
410 137 2 0.0 26.558 26.42 19.722
411 137 1 0.0 26.716 27.404 20.137
412 138 1 0.0 31.252 25.985 20.024
413 138 2 0.0 32.558 26.42 19.722
414 138 1 0.0 32.716 27.404 20.137
415 139 1 0.0 1.252 31.985 20.024
416 139 2 0.0 2.558 32.42 19.722
417 139 1 0.0 2.716 33.403999999999996 20.137
418 140 1 0.0 7.252 31.985 20.024
419 140 2 0.0 8.558 32.42 19.722
420 140 1 0.0 8.716 33.403999999999996 20.137
421 141 1 0.0 13.252 31.985 20.024
422 141 2 0.0 14.558 32.42 19.722
423 141 1 0.0 14.716 33.403999999999996 20.137
424 142 1 0.0 19.252 31.985 20.024
425 142 2 0.0 20.558 32.42 19.722
426 142 1 0.0 20.716 33.403999999999996 20.137
427 143 1 0.0 25.252 31.985 20.024
428 143 2 0.0 26.558 32.42 19.722
429 143 1 0.0 26.716 33.403999999999996 20.137
430 144 1 0.0 31.252 31.985 20.024
431 144 2 0.0 32.558 32.42 19.722
432 144 1 0.0 32.716 33.403999999999996 20.137
433 145 1 0.0 1.252 1.985 26.024
434 145 2 0.0 2.558 2.42 25.722
435 145 1 0.0 2.716 3.404 26.137
436 146 1 0.0 7.252 1.985 26.024
437 146 2 0.0 8.558 2.42 25.722
438 146 1 0.0 8.716 3.404 26.137
439 147 1 0.0 13.252 1.985 26.024
440 147 2 0.0 14.558 2.42 25.722
441 147 1 0.0 14.716 3.404 26.137
442 148 1 0.0 19.252 1.985 26.024
443 148 2 0.0 20.558 2.42 25.722
444 148 1 0.0 20.716 3.404 26.137
445 149 1 0.0 25.252 1.985 26.024
446 149 2 0.0 26.558 2.42 25.722
447 149 1 0.0 26.716 3.404 26.137
448 150 1 0.0 31.252 1.985 26.024
449 150 2 0.0 32.558 2.42 25.722
450 150 1 0.0 32.716 3.404 26.137
451 151 1 0.0 1.252 7.985 26.024
452 151 2 0.0 2.558 8.42 25.722
453 151 1 0.0 2.716 9.404 26.137
454 152 1 0.0 7.252 7.985 26.024
455 152 2 0.0 8.558 8.42 25.722
456 152 1 0.0 8.716 9.404 26.137
457 153 1 0.0 13.252 7.985 26.024
458 153 2 0.0 14.558 8.42 25.722
459 153 1 0.0 14.716 9.404 26.137
460 154 1 0.0 19.252 7.985 26.024
461 154 2 0.0 20.558 8.42 25.722
462 154 1 0.0 20.716 9.404 26.137
463 155 1 0.0 25.252 7.985 26.024
464 155 2 0.0 26.558 8.42 25.722
465 155 1 0.0 26.716 9.404 26.137
466 156 1 0.0 31.252 7.985 26.024
467 156 2 0.0 32.558 8.42 25.722
468 156 1 0.0 32.716 9.404 26.137
469 157 1 0.0 1.252 13.985 26.024
470 157 2 0.0 2.558 14.42 25.722
471 157 1 0.0 2.716 15.404 26.137
472 158 1 0.0 7.252 13.985 26.024
473 158 2 0.0 8.558 14.42 25.722
474 158 1 0.0 8.716 15.404 26.137
475 159 1 0.0 13.252 13.985 26.024
476 159 2 0.0 14.558 14.42 25.722
477 159 1 0.0 14.716 15.404 26.137
478 160 1 0.0 19.252 13.985 26.024
479 160 2 0.0 20.558 14.42 25.722
480 160 1 0.0 20.716 15.404 26.137
481 161 1 0.0 25.252 13.985 26.024
482 161 2 0.0 26.558 14.42 25.722
483 161 1 0.0 26.716 15.404 26.137
484 162 1 0.0 31.252 13.985 26.024
485 162 2 0.0 32.558 14.42 25.722
486 162 1 0.0 32.716 15.404 26.137
487 163 1 0.0 1.252 19.985 26.024
488 163 2 0.0 2.558 20.42 25.722
489 163 1 0.0 2.716 21.404 26.137
490 164 1 0.0 7.252 19.985 26.024
491 164 2 0.0 8.558 20.42 25.722
492 164 1 0.0 8.716 21.404 26.137
493 165 1 0.0 13.252 19.985 26.024
494 165 2 0.0 14.558 20.42 25.722
495 165 1 0.0 14.716 21.404 26.137
496 166 1 0.0 19.252 19.985 26.024
497 166 2 0.0 20.558 20.42 25.722
498 166 1 0.0 20.716 21.404 26.137
499 167 1 0.0 25.252 19.985 26.024
500 167 2 0.0 26.558 20.42 25.722
501 167 1 0.0 26.716 21.404 26.137
502 168 1 0.0 31.252 19.985 26.024
503 168 2 0.0 32.558 20.42 25.722
504 168 1 0.0 32.716 21.404 26.137
505 169 1 0.0 1.252 25.985 26.024
506 169 2 0.0 2.558 26.42 25.722
507 169 1 0.0 2.716 27.404 26.137
508 170 1 0.0 7.252 25.985 26.024
509 170 2 0.0 8.558 26.42 25.722
510 170 1 0.0 8.716 27.404 26.137
511 171 1 0.0 13.252 25.985 26.024
512 171 2 0.0 14.558 26.42 25.722
513 171 1 0.0 14.716 27.404 26.137
514 172 1 0.0 19.252 25.985 26.024
515 172 2 0.0 20.558 26.42 25.722
516 172 1 0.0 20.716 27.404 26.137
517 173 1 0.0 25.252 25.985 26.024
518 173 2 0.0 26.558 26.42 25.722
519 173 1 0.0 26.716 27.404 26.137
520 174 1 0.0 31.252 25.985 26.024
521 174 2 0.0 32.558 26.42 25.722
522 174 1 0.0 32.716 27.404 26.137
523 175 1 0.0 1.252 31.985 26.024
524 175 2 0.0 2.558 32.42 25.722
525 175 1 0.0 2.716 33.403999999999996 26.137
526 176 1 0.0 7.252 31.985 26.024
527 176 2 0.0 8.558 32.42 25.722
528 176 1 0.0 8.716 33.403999999999996 26.137
529 177 1 0.0 13.252 31.985 26.024
530 177 2 0.0 14.558 32.42 25.722
531 177 1 0.0 14.716 33.403999999999996 26.137
532 178 1 0.0 19.252 31.985 26.024
533 178 2 0.0 20.558 32.42 25.722
534 178 1 0.0 20.716 33.403999999999996 26.137
535 179 1 0.0 25.252 31.985 26.024
536 179 2 0.0 26.558 32.42 25.722
537 179 1 0.0 26.716 33.403999999999996 26.137
538 180 1 0.0 31.252 31.985 26.024
539 180 2 0.0 32.558 32.42 25.722
540 180 1 0.0 32.716 33.403999999999996 26.137
541 181 1 0.0 1.252 1.985 32.024
542 181 2 0.0 2.558 2.42 31.722
543 181 1 0.0 2.716 3.404 32.137
544 182 1 0.0 7.252 1.985 32.024
545 182 2 0.0 8.558 2.42 31.722
546 182 1 0.0 8.716 3.404 32.137
547 183 1 0.0 13.252 1.985 32.024
548 183 2 0.0 14.558 2.42 31.722
