LAMMPS Description

     648  atoms
     432  bonds
     216  angles
     0  dihedrals
     0  impropers

     3  atom types
     3  bond types
     1  angle types

  0.0 26.6 xlo xhi
  0.0 26.6 ylo yhi
  0.0 26.6 zlo zhi

Masses

    1 15.999 #OH "Alcohol OH (UA)" 8 partial charge=-0.7
    2 1.008 #HO "Alcohol OH (UA)" 1 partial charge=0.435
    3 15.035 #C3 "Methanol CH3- (UA)" 6 partial charge=0.265

Atoms # full

405 135 2 0.0 11.575999999999999 21.124 15.427
406 136 3 0.0 14.542 19.705 15.313999999999998
407 136 1 0.0 15.847999999999999 20.14 15.011999999999999
408 136 2 0.0 16.006 21.124 15.427
409 137 3 0.0 18.971999999999998 19.705 15.313999999999998
410 137 1 0.0 20.278 20.14 15.011999999999999
411 137 2 0.0 20.436 21.124 15.427
412 138 3 0.0 23.401999999999997 19.705 15.313999999999998
413 138 1 0.0 24.708 20.14 15.011999999999999
414 138 2 0.0 24.866 21.124 15.427
415 139 3 0.0 1.252 24.134999999999998 15.313999999999998
416 139 1 0.0 2.558 24.57 15.011999999999999
417 139 2 0.0 2.716 25.554 15.427
418 140 3 0.0 5.6819999999999995 24.134999999999998 15.313999999999998
419 140 1 0.0 6.9879999999999995 24.57 15.011999999999999
420 140 2 0.0 7.146 25.554 15.427
421 141 3 0.0 10.112 24.134999999999998 15.313999999999998
422 141 1 0.0 11.418 24.57 15.011999999999999
423 141 2 0.0 11.575999999999999 25.554 15.427
424 142 3 0.0 14.542 24.134999999999998 15.313999999999998
425 142 1 0.0 15.847999999999999 24.57 15.011999999999999
426 142 2 0.0 16.006 25.554 15.427
427 143 3 0.0 18.971999999999998 24.134999999999998 15.313999999999998
428 143 1 0.0 20.278 24.57 15.011999999999999
429 143 2 0.0 20.436 25.554 15.427
430 144 3 0.0 23.401999999999997 24.134999999999998 15.313999999999998
431 144 1 0.0 24.708 24.57 15.011999999999999
432 144 2 0.0 24.866 25.554 15.427
433 145 3 0.0 1.252 1.985 19.744
434 145 1 0.0 2.558 2.42 19.442
435 145 2 0.0 2.716 3.404 19.857
436 146 3 0.0 5.6819999999999995 1.985 19.744
437 146 1 0.0 6.9879999999999995 2.42 19.442
438 146 2 0.0 7.146 3.404 19.857
439 147 3 0.0 10.112 1.985 19.744
440 147 1 0.0 11.418 2.42 19.442
441 147 2 0.0 11.575999999999999 3.404 19.857
442 148 3 0.0 14.542 1.985 19.744
443 148 1 0.0 15.847999999999999 2.42 19.442
444 148 2 0.0 16.006 3.404 19.857
445 149 3 0.0 18.971999999999998 1.985 19.744
446 149 1 0.0 20.278 2.42 19.442
447 149 2 0.0 20.436 3.404 19.857
448 150 3 0.0 23.401999999999997 1.985 19.744
449 150 1 0.0 24.708 2.42 19.442
450 150 2 0.0 24.866 3.404 19.857
451 151 3 0.0 1.252 6.415 19.744
452 151 1 0.0 2.558 6.85 19.442
453 151 2 0.0 2.716 7.834 19.857
454 152 3 0.0 5.6819999999999995 6.415 19.744
455 152 1 0.0 6.9879999999999995 6.85 19.442
456 152 2 0.0 7.146 7.834 19.857
457 153 3 0.0 10.112 6.415 19.744
458 153 1 0.0 11.418 6.85 19.442
459 153 2 0.0 11.575999999999999 7.834 19.857
460 154 3 0.0 14.542 6.415 19.744
461 154 1 0.0 15.847999999999999 6.85 19.442
462 154 2 0.0 16.006 7.834 19.857
463 155 3 0.0 18.971999999999998 6.415 19.744
464 155 1 0.0 20.278 6.85 19.442
465 155 2 0.0 20.436 7.834 19.857
466 156 3 0.0 23.401999999999997 6.415 19.744
467 156 1 0.0 24.708 6.85 19.442
468 156 2 0.0 24.866 7.834 19.857
469 157 3 0.0 1.252 10.844999999999999 19.744
470 157 1 0.0 2.558 11.28 19.442
471 157 2 0.0 2.716 12.264 19.857
472 158 3 0.0 5.6819999999999995 10.844999999999999 19.744
473 158 1 0.0 6.9879999999999995 11.28 19.442
474 158 2 0.0 7.146 12.264 19.857
475 159 3 0.0 10.112 10.844999999999999 19.744
476 159 1 0.0 11.418 11.28 19.442
477 159 2 0.0 11.575999999999999 12.264 19.857
478 160 3 0.0 14.542 10.844999999999999 19.744
479 160 1 0.0 15.847999999999999 11.28 19.442
480 160 2 0.0 16.006 12.264 19.857
481 161 3 0.0 18.971999999999998 10.844999999999999 19.744
482 161 1 0.0 20.278 11.28 19.442
483 161 2 0.0 20.436 12.264 19.857
484 162 3 0.0 23.401999999999997 10.844999999999999 19.744
485 162 1 0.0 24.708 11.28 19.442
486 162 2 0.0 24.866 12.264 19.857
487 163 3 0.0 1.252 15.274999999999999 19.744
488 163 1 0.0 2.558 15.709999999999999 19.442
489 163 2 0.0 2.716 16.694 19.857
